Venue Name,vID
The Crocodile,KovZpZA1vFtA
The Crocodile Second Stage,KovZpZAaIIJA
The Showbox (at the Market),KovZpZAEknlA
Showbox Sodo,KovZpa6Mee
Neumos,KovZpappxe
WAMU Theater,KovZpZAFFE7A
Climate Pledge Arena,KovZ917Ahkk
Benaroya Hall - S. Mark Taper Auditorium,KovZpZAaIEvA
Benaroya Hall - Nordstrom Recital Hall,KovZpZAaIAkA
